state,year,pop_estimate,pop_change,births,deaths,international_mig,domestic_mig,net_mig,natural_inc,r_birth,r_death,r_natural_inc,r_international_mig,r_domestic_mig,r_net_mig
Oregon,2018,4190713,44121,45166,36052,8177,26819,34996,9114,10.83467619,8.648358193,2.186318001,1.961545128,6.433493797,8.395038924
Pennsylvania,2010,12711158,8285,36121,30214,5457,-1693,3764,5907,0,0,0,0,0,0
Pennsylvania,2011,12744583,33425,142975,127699,27481,-8176,19305,15276,11.2332224,10.03302163,1.200200772,2.159120019,-0.642369829,1.51675019
Pennsylvania,2012,12766827,22244,142120,125499,25615,-18630,6985,16621,11.14168131,9.838656507,1.303024803,2.008121072,-1.460522958,0.547598114
Pennsylvania,2013,12776621,9794,141805,130945,29587,-29890,-303,10860,11.10304294,10.25272704,0.850315901,2.316601893,-2.340326177,-0.023724283
Pennsylvania,2014,12789101,12480,142202,126713,34772,-36475,-1703,15489,11.12442668,9.91272611,1.211700573,2.720204812,-2.853430073,-0.133225262
Pennsylvania,2015,12785759,-3342,141913,132623,31937,-43725,-11788,9290,11.09785156,10.37135687,0.726494691,2.497530778,-3.419373557,-0.921842778
Pennsylvania,2016,12783538,-2221,140256,129938,38222,-50399,-12177,10318,10.9706575,10.16359582,0.807061688,2.98967938,-3.942149837,-0.952470457
Pennsylvania,2017,12790447,6909,137428,133891,31291,-27426,3865,3537,10.74748421,10.47087499,0.276609218,2.447096141,-2.144835856,0.302260285
Pennsylvania,2018,12807060,16613,135905,133562,35377,-20463,14914,2343,10.6186122,10.43554749,0.183064702,2.764097301,-1.598827573,1.165269727
Rhode Island,2010,1053938,981,2873,2338,1669,-1174,495,535,0,0,0,0,0,0
Rhode Island,2011,1053536,-402,11003,9767,4491,-6155,-1664,1236,10.44188446,9.268916248,1.172968207,4.261974288,-5.841115952,-1.579141664
Rhode Island,2012,1054601,1065,11009,9321,4411,-4996,-585,1688,10.44429276,8.842878807,1.60141395,4.184737519,-4.739729913,-0.554992394
Rhode Island,2013,1055122,521,10869,9636,3825,-4505,-680,1233,10.30372234,9.134848509,1.168873829,3.626068446,-4.270702836,-0.64463439
Rhode Island,2014,1056017,895,10726,9696,3495,-3534,-39,1030,10.16133945,9.185562864,0.975776583,3.311008891,-3.347955772,-0.03694688
Rhode Island,2015,1056173,156,10876,10071,4541,-5143,-602,805,10.29831597,9.536073933,0.762242033,4.299802575,-4.869827052,-0.570024477
Rhode Island,2016,1057063,890,10902,9822,4276,-4443,-167,1080,10.31782536,9.295696269,1.022129095,4.046874083,-4.204925527,-0.158051443
Rhode Island,2017,1056486,-577,10768,9816,2410,-3908,-1498,952,10.18949644,9.288641995,0.90085444,2.280524369,-3.698045326,-1.417520956
Rhode Island,2018,1057315,829,10575,9830,2755,-2639,116,745,10.00567225,9.300780916,0.704891331,2.60667868,-2.496923788,0.109754892
South Carolina,2010,4635656,10275,14180,9675,1178,4477,5655,4505,0,0,0,0,0,0
